Modèle;date;type;feu_croisement;feu_route;eclairage_jour;feu_position;feu_antibrouillard;clignotant_avant_voiture;clignotant_arriere_voiture;feu_arriere;feu_stop;feu_plaque_immatriculation;eclairage_interieur;eclairage_coffre;
PUNTO (188_);09/99-03/12;> 2002;H1/H7;H1/H7;-;W5W;H3;PY21W;PY21W;R10W;P21W;W5W;6411;W5W;
;;< 2003;H7;H1;-;W5W;H3;PY21W;PY21W;R10W;P21W;W5W;6411;W5W;
PUNTO (199_);03/12->>;Standard;H4;H4;W21W;W5W;H11;PY21W;P21W;P21/5W;P21/5W;W5W;6411;W5W;
PUNTO Convertible;04/94-06/00;Standard;H7;H7;-;W5W;H3;PY21W;PY21W;R10W;P21W;W5W;6411;**;
(176_);;;;;;;;;;;;;;;
PUNTO EVO (199_);07/08->>;Standard;H4;H4;W21W;W5W;H11;PY21W;PY21W;LED;P21W;W5W;6411;-;
PUNTO Van (176_);04/96-02/00;avec phare simple4;H4;H4;-;W5W;H3;PY21W;PY21W;R10W;P21W;W5W;6411;**;
;;avec phare double6;H1;H1;-;W5W;H3;PY21W;PY21W;R10W;P21W;W5W;6411;**;
PUNTO Hatchback Van;02/00-10/09;> 2002;H1/H7;H1/H7;-;W5W;H3;PY21W;PY21W;R10W;P21W;W5W;6411;W5W;
(188_);;;;;;;;;;;;;;;
;;< 2003;H7;H1;-;W5W;H3;PY21W;PY21W;R10W;P21W;W5W;6411;W5W;
PUNTO Hatchback Van;04/08->>;Standard;H4;H4;-;W5W;H1;PY21W;P21W;R5W;P21/5W;W5W;6411;-;
(199_);;;;;;;;;;;;;;;
QUBO (225_);02/08->>;Standard;H4;H4;-;W5W;H1;PY21W;P21W;P21/4W;P21W;W5W;-;-;
SCUDO Bus (270_, 272_);01/07->>;avec hayon14;H4;H4;-;W5W;H1;PY21W;PY21W;P21/5W;P21/5W;W5W;W5W;-;
;;avec hayons15;H4;H4;-;W5W;H1;PY21W;PY21W;P21/5W;P21/5W;W5W;W5W;-;
SCUDO Van (220_);02/96-12/06;> 2003, avec phare simple4;H4;H4;-;W5W;H3;P21W/;P21W;R5W;P21W;W5W;**;**;
;;;;;;;;PY21W;;;;;;;
;;> 2003, avec phare double6;H1;H1;-;W5W;H3;P21W/;P21W;R5W;P21W;W5W;**;**;
;;;;;;;;PY21W;;;;;;;
;;< 2004, avec phare simple4;H4;H4;-;W5W;H1;P21W/;P21W;R5W;P21W;W5W;**;**;
;;;;;;;;PY21W;;;;;;;
;;< 2004, avec phare double6;H1;H1;-;W5W;H1;P21W/;P21W;R5W;P21W;W5W;**;**;
;;;;;;;;PY21W;;;;;;;
SCUDO Van (270_, 272_);01/07->>;avec hayon14;H4;H4;-;W5W;H1;PY21W;PY21W;P21/5W;P21/5W;W5W;W5W;-;
;;avec hayons15;H4;H4;-;W5W;H1;PY21W;PY21W;P21/5W;P21/5W;W5W;W5W;-;
SCUDO Bus (220_);02/96-12/06;> 2003,avec phare simple4;H4;H4;-;W5W;H3;P21W/;P21W;R5W;P21W;W5W;**;**;
;;;;;;;;PY21W;;;;;;;
;;> 2003, avec phare double6;H1;H1;-;W5W;H3;P21W/;P21W;R5W;P21W;W5W;**;**;
;;;;;;;;PY21W;;;;;;;
;;< 2004,avec phare simple4;H4;H4;-;W5W;H1;P21W/;P21W;R5W;P21W;W5W;**;**;
;;;;;;;;PY21W;;;;;;;
;;< 2004, avec phare double6;H1;H1;-;W5W;H1;P21W/;P21W;R5W;P21W;W5W;**;**;
;;;;;;;;PY21W;;;;;;;
SCUDO Platform/Chassis;01/07->>;Standard;H4;H4;-;W5W;H1;PY21W;PY21W;R5W;P21W;R5W;W5W;-;
(270_, 272_);;;;;;;;;;;;;;;
SEDICI (189_);06/06->>;Standard;H4;H4;-;W5W;H11;PY21W;P21W;P21/5W;P21/5W;W5W;6411;W5W;
SEICENTO / 600 (187_);01/98-01/10;Standard;H4;H4;-;W5W;H3;PY21W;P21W;P21/5W;P21/5W;R5W;**;-;
SEICENTO / 600 Hatch-;01/98-01/10;Standard;H4;H4;-;W5W;H3;PY21W;P21W;P21/5W;P21/5W;R5W;**;-;
back Van (287_);;;;;;;;;;;;;;;
SIENA (178_, 172_);04/96-12/09;avec phare simple4;H4;H4;-;W5W;H1;PY21W;PY21W;P21/4W;P21W;**;6411;C5W;
;;avec phare double6;H7;H3;-;W5W;H1;PY21W;PY21W;P21/4W;P21W;**;6411;C5W;
STILO (192_);10/01-11/10;Halogen;H7;H1;-;W5W;H1;PY21W;PY21W;R5W;P21/5W;W5W;6411;**;
;;Xenon;D2R;H1;-;W5W;H1;PY21W;PY21W;R5W;P21/5W;W5W;6411;**;
STILO Multi Wagon;01/03-08/08;Halogen;H7;H1;-;W5W;H1;PY21W;PY21W;R5W;P21/5W;W5W;6411;**;
(192_);;;;;;;;;;;;;;;
;;Xenon;D2R;H1;-;W5W;H1;PY21W;PY21W;R5W;P21/5W;W5W;6411;**;
STRADA Pickup (178_,;02/98->>;avec phare simple4;H4;H4;-;W5W;H1;PY21W;P21W/;P21/5W/;P21W/;C5W/;6411;-;
278_);;;;;;;;;PY21W;P21/4W;P21/5W;W5W;;;
;;avec phare double6;H1/H7;H1/H7;-;W5W;H1;PY21W;P21W/;P21/5W/;P21W/;C5W/;6411;-;
;;;;;;;;;PY21W;P21/4W;P21/5W;W5W;;;
TALENTO Van (296_);06/16->>;Standard;H4;H4;W21/5W/ LED;W21/5W/ LED;H16/H11;PY21W;PY21W;P21/5W;P21/5W;W5W;W5W;**;
TALENTO Box Body/ Estate (296_);06/16->>;Standard;H4;H4;W21/5W/ LED;W21/5W/ LED;H16/H11;PY21W;PY21W;P21/5W;P21/5W;W5W;W5W;**;
TALENTO Bus (296_);06/16->>;Standard;H4;H4;W21/5W/ LED;W21/5W/ LED;H16/H11;PY21W;PY21W;P21/5W;P21/5W;W5W;W5W;**;
TALENTO Platform/ Chassis (296_);06/16->>;Standard;H4;H4;W21/5W/ LED;W21/5W/ LED;H16/H11;PY21W;PY21W;R10W;P21W;R5W;-;-;
TEMPRA (159_);03/90-12/98;Standard;H4;H4;-;W5W;H3;PY21W;P21W;R5W;P21W;C5W;6411/**;**;
TEMPRA S.W. (159_);03/90-08/97;Standard;H4;H4;-;W5W;H3;PY21W;P21W;R5W;P21W;C5W;6411/**;**;
TIPO (160_);07/87-10/95;Standard;H4;H4;-;W5W;H3;P21W/ PY21W;P21W;R5W;P21W;C5W;**;**;
TIPO Estate (356_, 357_);03/16->>;Halogen;H7;H15;H15/LED;H15/LED;H11;PY21W;PY21W;P21W/ LED;P21W;W5W/LED;C5W;W5W;
;;LED;LED;LED;LED;LED;H11;LED;PY21W;P21W/ LED;P21W;W5W/LED;C5W;W5W;
TIPO Hatchback (356_);03/16->>;Halogen;H7;H15;H15/LED;H15/LED;H11;PY21W;PY21W;P21W/ LED;P21W;W5W/LED;C5W;W5W;
;;LED;LED;LED;LED;LED;H11;LED;PY21W;P21W/ LED;P21W;W5W/LED;C5W;W5W;
TIPO Saloon (356_, 357_);10/15->>;Halogen;H7;H15;H15/LED;H15/LED;H11;PY21W;PY21W;P21W/ LED;P21W;W5W/LED;C5W;W5W;
;;LED;LED;LED;LED;LED;H11;LED;PY21W;P21W/ LED;P21W;W5W/LED;C5W;W5W;
ULYSSE (179_);08/02-06/11;Halogen;H7;H7;-;W5W;H1;PY21W;PY21W;P21/5W;P21/5W;W5W;W5W;W5W;
;;Xenon;D1S;H7;-;W5W;H1;PY21W;PY21W;P21/5W;P21/5W;W5W;W5W;W5W;
ULYSSE (220_);06/94-08/02;Standard;H1;H1;-;W5W;H3;PY21W;P21W;R5W;P21/5W;W5W;W5W;**;
UNO (146_);01/83-06/06;Standard;H4;H4;-;W5W;H3;P21W;P21W;R5W;P21W;W5W;6411;-;
UNO (195_);05/10->>;Standard;H4;H4;-;W5W;-;PY21W;PY21W;P21/5W;P21/5W;W5W;-;-;
FORD;;;;;;;;;;;;;;;
B-MAX (JK);10/12->>;Halogen;H7;H15;H15;W5W;H11;PY21W;PY21W;P21/5W/ PR21/5W;P21/5W/ PR21/5W;W5W;**;W5W;
;;Halogen, avec technologie LED9;H7;H1;LED;LED;H11;PY21W;PY21W;P21/5W/ PR21/5W;P21/5W/ PR21/5W;W5W;**;W5W;
B-MAX Van (JK);10/12->>;Halogen;H7;H15;H15;W5W;H11;PY21W;PY21W;P21/5W;P21/5W;W5W;**;W5W;
;;Halogen, avec technologie LED9;H7;H1;LED;LED;H11;PY21W;PY21W;P21/5W;P21/5W;W5W;**;W5W;
C-MAX (DM2);02/07->>;Halogen;H7;H1;-;W5W;H8;PY21W;PY21W;LED;P21W;W5W;6411;6411;
;;Bi-Xenon;D1S;H1;-;LED;H8;PY21W;PY21W;LED;P21W;W5W;6411;6411;
C-MAX II (DXA/CB7, DXA/ CEU);12/10->>;> 2014, Halogen;H7;H1;-;W5W;H11;PY21W;PY21W;**;**;W5W;**;W5W;
;;> 2014, Bi-Xenon;D3S;H1;LED;W5W;H11;PY21W;PY21W;**;**;W5W;**;W5W;
;;< 2015, Halogen;H7;H1;-;W5W;H8;PY21W;PY21W;**;**;W5W;**;W5W;
;;< 2015, Bi-Xenon;D3S;D3S;LED;LED;H8;PY21W;PY21W;**;**;W5W;**;W5W;
C-MAX II Van;12/10->>;Halogen;H7;H1;-;W5W;H11/H8;PY21W;PY21W;W5W;PR21/5W;W5W;**;W5W;
;;Bi-Xenon;D3S;H1;LED;W5W/LED;H11/H8;PY21W;PY21W;W5W;PR21/5W;W5W;**;W5W;
COUGAR (EC_);08/98-12/01;Standard;H7;HB3;-;H6W;H3;P21W;P21W;P21/5W;P21/5W;C5W;6411;6411;
ECOSPORT;09/11->>;Standard;H4;H4;P21W;LED;H11;PY21W;PY21W;P21/5W;P21/5W;W5W;W5W;W5W;
ESCORT V Express (AVF);07/90-12/94;Standard;H4;H4;-;W5W;-;P21W/ PY21W;P21W;P21/5W;P21/5W;R10W;R10W;-;
ESCORT VI Estate Van (AVL);01/95->>;Standard;H4;H4;-;W5W;H3;PY21W;P21W;P21/5W;P21/5W;W5W;R10W;-;
ESCORT CLASSIC (AAL, ABL);10/98-07/00;Standard;H4;H4;-;W5W;H3;PY21W;P21W;R5W;P21W;R10W;R10W;-;
ESCORT CLASSIC Turnier (ANL);02/99-07/00;Standard;H4;H4;-;W5W;H3;PY21W;P21W;R5W;P21W;R10W;R10W;-;
ESCORT IV (GAF, AWF, ABFT);10/85-10/90;Standard;H4;H4;-;W5W;-;P21W;P21W;P21/5W;P21/5W;R10W;R10W;W5W;
ESCORT V (AAL, ABL);07/90-12/92;Standard;H4;H4;-;W5W;H3;P21W/ PY21W;P21W;P21/5W;P21/5W;R10W;6411;W5W;
ESCORT V Convertible (ALL);07/90-12/92;Standard;H4;H4;-;W5W;H3;P21W/ PY21W;P21W;P21/5W;P21/5W;R10W;6411;-;
ESCORT V Turnier (ANL);07/90-12/92;Standard;H4;H4;-;W5W;H3;P21W/ PY21W;P21W;P21/5W;P21/5W;R10W;6411;-;
ESCORT V (GAL);09/92-09/96;Standard;H4;H4;-;W5W;H3;PY21W;P21W;P21/5W;P21/5W;R10W;6411;W5W;
ESCORT V Convertible (ALL);12/92-01/95;Standard;H4;H4;-;T4W;H3;P21W;P21W;P21/5W;P21/5W;R10W;6411;W5W;
ESCORT V Saloon (AFL);08/93-01/95;Standard;H4;H4;-;W5W;-;PY21W;P21W;R5W;P21W;R10W;6411;W5W;
ESCORT V Turnier (GAL);09/92-01/95;Standard;H4;H4;-;W5W;-;PY21W;P21W;P21/5W;P21/5W;R10W;6411;R10W;
ESCORT VI (GAL, AAL, ABL);01/95-10/02;Standard;H4;H4;-;W5W;H3;PY21W;P21W;P21/5W;P21/5W;R10W;6411;W5W;
ESCORT VI Convertible (ALL);02/95-08/00;Standard;H4;H4;-;W5W;H3;PY21W;P21W;P21/5W;P21/5W;R10W;6411;W5W;
ESCORT VI Saloon (GAL, AFL);01/95-02/99;Standard;H4;H4;-;W5W;H3;PY21W;P21W;P21/5W;P21/5W;R10W;6411;W5W;
ESCORT VI Turnier (GAL, ANL);01/95-10/02;Standard;H4;H4;-;W5W;H3;PY21W;P21W;P21/5W;P21/5W;R10W;6411;R10W;
FIESTA Box Body/MPV (F3L, F5L);07/91-02/96;Standard;H4;H4;-;W5W;H3;P21W/ PY21W;P21W;P21/5W;P21/5W;W5W;6411;-;
FIESTA Box Body/MPV (J5_, J3_);02/96->>;> 1999/08;H7;H1;-;W5W;H1;PY21W;P21W;P21/5W;P21/5W;W5W;6411;R10W;
;;< 1999/09;H4;H4;-;W5W;H1;P21W;P21W;P21/5W;P21/5W;W5W;6411;R10W;
FIESTA Hatchback Van (JV_);05/98->>;> 1999/08;H7;H1;-;W5W;H1;P21W/ PY21W;P21W;R5W;P21W;W5W;6411;R10W;
;;< 1999/09;H4;H4;-;W5W;H1;P21W/ PY21W;P21W;R5W;P21W;W5W;6411;R10W;
FIESTA III (GFJ);01/89-01/97;Standard;H4;H4;-;W5W;H3;P21W/ PY21W;P21W;P21/5W;P21/5W;R10W;6411;W5W;
FIESTA IV (JA_, JB_);08/95-09/02;> 1999/08;H7;H1;-;W5W;H1;P21W/ PY21W;P21W;R5W;P21W;W5W;C5W;W5W;
;;< 1999/09;H4;H4;-;W5W;H1;P21W/ PY21W;P21W;R5W;P21W;W5W;C5W;W5W;
FIESTA V (JH_, JD_);11/01-03/10;> 2005/09;H4;H4;-;W5W;H11;PY21W;PY21W;P21/5W;P21/5W;C5W;6411;W5W;
;;< 2005/10;H4;H4;-;W5W;H11;P21W;PY21W;P21/5W;P21/5W;C5W;6411;W5W;
FIESTA V Van;10/03->>;> 2005/09;H4;H4;-;W5W;H11;P21W;PY21W;P21/5W;P21/5W;C5W;6411;W5W;
;;< 2005/10;H4;H4;-;W5W;H11;PY21W;PY21W;P21/5W;P21/5W;C5W;6411;W5W;
FIESTA VI (CB1, CCN);06/08->>;sans éclairage de jour12;H7;H1;-;W5W;H11;PY21W;PY21W;P21/5W;P21/5W;W5W;**;W5W;
;;avec éclairage de jour11;H7;H15;H15;W5W;H11;PY21W;PY21W;P21/5W;P21/5W;W5W;**;W5W;
;;avec technologie LED9, avec éclairage de jour11;H7;H1;LED;LED;H11;PY21W;PY21W;P21/5W;P21/5W;W5W;**;W5W;
FIESTA VI Van;08/08->>;Halogen, sans éclairage de jour12;H7;H1;-;W5W;H11;PY21W;PY21W;P21/5W/ LED;P21/5W/ LED;W5W/LED;**;W5W;
;;Halogen, avec éclairage de jour11;H7;H15/H1;H15/LED;W5W/LED;H11;PY21W;PY21W;P21/5W/ LED;P21/5W/ LED;W5W/LED;**;W5W;
;;avec phare principal à éclairage intégral LED3;LED;LED;LED;LED;H11;LED;PY21W;P21/5W/ LED;P21/5W/ LED;W5W/LED;**;W5W;
FIESTA VII (HJ, HF);05/17->>;avec phare à ré?ecteur16;H7;H15;H15;H15;H11/H8;PY21W;PY21W;P21/5W/ LED;P21/5W/ LED;LED;**;**;
;;avec phare à projecteur17;H7;H1;LED;LED;H11/H8;PY21W;PY21W;P21/5W/ LED;P21/5W/ LED;LED;**;**;
;;LED;LED;LED;LED;LED;H11/H8;LED;PY21W;P21/5W/ LED;P21/5W/ LED;LED;**;**;
FIESTA VII Van;09/18->>;avec phare à ré?ecteur16;H7;H15;H15;H15;H11/H8;PY21W;PY21W;P21/5W/ LED;P21/5W/ LED;LED;**;**;
;;avec phare à projecteur17;H7;H1;LED;LED;H11/H8;PY21W;PY21W;P21/5W/ LED;P21/5W/ LED;LED;**;**;
;;LED;LED;LED;LED;LED;H11/H8;LED;PY21W;P21/5W/ LED;P21/5W/ LED;LED;**;**;
FOCUS I (DAW, DBW);10/98-12/07;> 2001/09,avec phare simple4;H4;H4;-;W5W;H1;P21W;P21W;P21/5W;P21/5W;C5W;6411;W5W;
;;< 2001/10, avec phare double6;H7;H1;-;W5W;H11;P21W;P21W;P21/5W;P21/5W;C5W;6411;W5W;
;;< 2001/10, Xenon;D2S;H7;-;W5W;H11;PY21W;P21W;P21/5W;P21/5W;C5W;6411;W5W;
FOCUS C-MAX (DM2);10/03-03/07;Halogen;H7;H1;-;W5W;H8;PY21W;PY21W;P21/4W;P21W;C5W;6411;W5W;
;;Xenon;D2S;H1;-;W5W;H8;PY21W;PY21W;P21/4W;P21W;C5W;6411;W5W;
FOCUS II (DA_, HCP, DP);07/04-09/12;Halogen, Feu arrière rouge18;H7;H1;-;W5W;H11/H8;PY21W;PY21W;P21/5W;P21/5W;C5W/ W5W;6411;**;
;;Halogen, Feu arrière blanc19;H7;H1;-;W5W;H11/H8;PY21W;PY21W;PR21/5W;PR21/5W;C5W/ W5W;6411;**;
;;Halogen, avec technologie LED9;H7;H1;-;W5W;H11/H8;PY21W;PY21W;LED;PR21W;C5W/ W5W;6411;**;
;;Bi-Xenon, Feu arrière rouge18;D1S;H1;-;W5W;H11/H8;PY21W;PY21W;P21/5W;P21/5W;C5W/ W5W;6411;**;
;;Bi-Xenon, Feu arrière blanc19;D1S;H1;-;W5W;H11/H8;PY21W;PY21W;PR21/5W;PR21/5W;C5W/ W5W;6411;**;
;;Bi-Xenon, avec technologie LED9;D1S;H1;-;W5W;H11/H8;PY21W;PY21W;LED;PR21W;C5W/ W5W;6411;**;
FOCUS II Convertible;10/06->>;Halogen;H7;H1;-;W5W;H8;PY21W;PY21W;W5W;P21W;C5W;6411;**;
;;Bi-Xenon;D1S;H1;-;W5W;H8;PY21W;PY21W;W5W;P21W;C5W;6411;**;
FOCUS II Estate Van;07/04-07/11;Standard;H7;H1;-;W5W;H8;PY21W;PY21W;PR21/5W/ LED;PR21/5W/ PR21W;C5W/ W5W;6411;-;
FOCUS II Saloon (DB_, FCH, DH);04/05->>;Halogen;H7;H1;-;W5W;H11/H8;PY21W;PY21W;P21/4W;P21W;C5W/ W5W;6411;W5W;
;;Bi-Xenon;D1S;H1;-;W5W;H11/H8;PY21W;PY21W;P21/4W;P21W;C5W/ W5W;6411;W5W;
FOCUS II Turnier (DA_, FFS, DS);07/04-09/12;Halogen, Feu arrière rouge18;H7;H1;-;W5W;H11/H8;PY21W;PY21W;P21/5W;P21/5W;C5W/ W5W;6411;**;
;;Halogen, Feu arrière blanc19;H7;H1;-;W5W;H11/H8;PY21W;PY21W;PR21/5W;PR21/5W;C5W/ W5W;6411;**;
;;Halogen, avec technologie LED9;H7;H1;-;W5W;H11/H8;PY21W;PY21W;LED;PR21W;C5W/ W5W;6411;**;
;;Bi-Xenon, Feu arrière rouge18;D1S;H1;-;W5W;H11/H8;PY21W;PY21W;P21/5W;P21/5W;C5W/ W5W;6411;**;
;;Bi-Xenon, Feu arrière blanc19;D1S;H1;-;W5W;H11/H8;PY21W;PY21W;PR21/5W;PR21/5W;C5W/ W5W;6411;**;
;;Bi-Xenon, avec technologie LED9;D1S;H1;-;W5W;H11/H8;PY21W;PY21W;LED;PR21W;C5W/ W5W;6411;**;
FOCUS III;07/10->>;Halogen, sans éclairage de jour12;H7;H1;-;W5W;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
;;Halogen, avec éclairage de jour11;H7;H15;H15;W5W;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
;;Xenon;D3S/D8S;H7;LED;LED;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
;;Bi-Xenon;D3S;D3S;LED;LED;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
FOCUS III Estate Van;02/12->>;Halogen, sans éclairage de jour12;H7;H1;-;W5W;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
;;Halogen, avec éclairage de jour11;H7;H15;H15;W5W;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
;;Xenon;D3S;H7;LED;LED;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
;;Bi-Xenon;D3S;D3S;LED;LED;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
FOCUS III Hatchback Van;01/11->>;Halogen, sans éclairage de jour12;H7;H1;-;W5W;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
;;Halogen, avec éclairage de jour11;H7;H15;H15;W5W;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
;;Xenon;D3S;H7;LED;LED;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
;;Bi-Xenon;D3S;D3S;LED;LED;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
FOCUS III Saloon;07/10->>;Halogen, sans éclairage de jour12;H7;H1;-;W5W;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;-;W5W;
;;Halogen, avec éclairage de jour11;H7;H15;H15;W5W;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;-;W5W;
;;Xenon;D3S;H7;LED;LED;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;-;W5W;
;;Bi-Xenon;D3S;D3S;LED;LED;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;-;W5W;
FOCUS III Turnier;07/10->>;Halogen, sans éclairage de jour12;H7;H1;-;W5W;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
;;Halogen, avec éclairage de jour11;H7;H15;H15;W5W;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
;;Xenon;D3S;H7;LED;LED;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
;;Bi-Xenon;D3S;D3S;LED;LED;H11/H8;PY21W;PY21W;W5W/LED;P21/5W;**;**;W5W;
FOCUS IV (HN);01/18->>;Halogen;H7;H1;LED;LED;H8/LED;PY21W;PY21W;W5W/LED;P21W;LED;**;**;
;;LED;LED;LED;LED;LED;H8/LED;LED;PY21W;W5W/LED;P21W;LED;**;**;
FOCUS IV Saloon (HM);11/18->>;Halogen;H7;H1;LED;LED;H8/LED;PY21W;PY21W;W5W/LED;P21W;LED;**;**;
;;LED;LED;LED;LED;LED;H8/LED;LED;PY21W;W5W/LED;P21W;LED;**;**;
FOCUS IV Turnier (HP);09/18->>;Halogen;H7;H1;LED;LED;H8/LED;PY21W;PY21W;W5W/LED;P21W;LED;**;**;
;;LED;LED;LED;LED;LED;H8/LED;LED;PY21W;W5W/LED;P21W;LED;**;**;
FOCUS I Saloon (DFW);02/99-12/07;> 2001/09,avec phare simple4;H4;H4;-;W5W;H1;P21W;P21W;P21/5W;P21/5W;C5W;6411;W5W;
;;< 2001/10, avec phare double6;H7;H1;-;W5W;H11;P21W;P21W;P21/5W;P21/5W;C5W;6411;W5W;
;;< 2001/10, Xenon;D2S;H7;-;W5W;H11;PY21W;P21W;P21/5W;P21/5W;C5W;6411;W5W;
FOCUS I Turnier (DNW);02/99-12/07;> 2001/09,avec phare simple4;H4;H4;-;W5W;H1;P21W;P21W;P21/5W;P21/5W;C5W;6411;W5W;
;;< 2001/10, avec phare double6;H7;H1;-;W5W;H11;P21W;P21W;P21/5W;P21/5W;C5W;6411;W5W;
;;< 2001/10, Xenon;D2S;H7;-;W5W;H11;PY21W;P21W;P21/5W;P21/5W;C5W;6411;W5W;
FUSION (JU_);08/02-12/12;> 2005/09;H4;H4;-;W5W;H11;P21W/ PY21W;PY21W;P21/5W;P21/5W;C5W;6411;W5W;
;;< 2005/10;H4;H4;-;W5W;H11;P21W/ PY21W;PY21W;P21/5W;P21/5W;C5W;6411;W5W;
GALAXY (CK);01/15->>;Halogen;H7;H15;H15;W5W;H11;**;LED;LED;LED;W5W;LED;-;
;;Halogen, avec technologie LED9;H7;H7;LED;LED;H11;**;LED;LED;LED;W5W;LED;-;
;;LED;LED;LED;LED;LED;H11;LED;LED;LED;LED;W5W;LED;-;
GALAXY (WM, WA6);05/06-06/15;Halogen;H7;H1;LED;W5W;HB4;PY21W;PY21W;W5W/LED;P21W;W5W;6411;W5W;
;;Bi-Xenon;D1S;H1;LED;W5W;HB4;PY21W;PY21W;W5W/LED;P21W;W5W;6411;W5W;
GALAXY I (WGR);03/95-05/06;> 2000/03, Halogen;H4;H4;-;W5W;H1;PY21W;P21W/ PY21W;R5W;P21/5W;W5W;6411/ W5W;C5W;
;;< 2000/04, Halogen;H7;H1;-;W5W;H7;PY21W;P21W/ PY21W;R5W;P21/5W;W5W;6411/ W5W;C5W;
;;Xenon;D2S;H7;-;W5W;H7;PY21W;P21W/ PY21W;R5W;P21/5W;W5W;6411/ W5W;C5W;
GALAXY MK III VAN (CK);03/19->>;Halogen;H7;H15;H15;W5W;H11;**;LED;LED;LED;W5W;LED;-;
;;Halogen, avec technologie LED9;H7;H7;LED;LED;H11;**;LED;LED;LED;W5W;LED;-;
;;LED;LED;LED;LED;LED;H11;LED;LED;LED;LED;W5W;LED;-;
GRAND C-MAX (DXA/CB7, DXA/CEU);12/10->>;Halogen;H7;H1;-;W5W;H11;PY21W;PY21W;PR21/5W;PR21/5W;W5W;-;W5W;
;;Bi-Xenon;D3S;H1;-;W5W;H11;PY21W;PY21W;PR21/5W;PR21/5W;W5W;-;W5W;
GRAND C-MAX Van;12/10->>;Halogen;H7;H1;-;W5W;H11/H8;PY21W;PY21W;PR21/5W;PR21/5W;W5W;**;W5W;
;;Bi-Xenon;D3S;H1;LED;W5W/LED;H11/H8;PY21W;PY21W;PR21/5W;PR21/5W;W5W;**;W5W;
KA (RB_);09/96-11/08;Standard;H7;H1;-;W5W;H1;P21W;P21W;R5W;P21W;W5W;6411;W5W;
KA (RU8);10/08->>;Standard;H4;H4;-;W5W;H1;PY21W;PY21W;P21/5W;P21/5W;C5W;6411;W5W;
KA Van (RB);05/02-05/05;Standard;H7;H1;-;W5W;H1;P21W;P21W;R5W;P21W;W5W;6411;W5W;
KA+ III (UK, FK);08/14->>;Standard;H4;H4;-;W5W;H11;PY21W;RY10W;P21/4W;P21W;W5W;W5W;W5W;
KA+ III Saloon (TK, FK);08/14->>;Standard;H4;H4;-;W5W;H11;PY21W;RY10W;P21/4W;P21W;W5W;W5W;W5W;
KUGA I;03/08->>;Halogen;H7;H7;LED;W5W;H8;H21W;**;W21/5W;W21/5W;W5W;-;6411;
;;Bi-Xenon;D1S;H7;LED;W5W;H8;H21W;**;W21/5W;W21/5W;W5W;-;6411;
KUGA II (DM2);05/12->>;> 2015, Halogen;H7;H15;H15;W5W;H10;WY21W;PY21W;P21/5W/ LED;P21/5W/ LED;W5W;LED;-;
;;> 2015, Bi-Xenon;D3S;H1;LED;LED;H10;WY21W;PY21W;P21/5W/ LED;P21/5W/ LED;W5W;LED;-;
;;< 2016, Bi-Xenon;D3S;H1;LED;LED;H11;WY21W;WY21W;P21/5W/ LED;P21/5W/ LED;W5W;LED;-;
;;< 2016, Halogen;H7;H1;LED;LED;H11;WY21W;WY21W;P21/5W/ LED;P21/5W/ LED;W5W;LED;-;
KUGA II Van;05/12->>;> 2015, Halogen;H7;H15;H15;W5W;H10;WY21W;PY21W;P21/5W/ LED;P21/5W/ LED;W5W;LED;-;
;;> 2015, Bi-Xenon;D3S;H1;LED;LED;H10;WY21W;PY21W;P21/5W/ LED;P21/5W/ LED;W5W;LED;-;
;;< 2016, Bi-Xenon;D3S;H1;LED;LED;H11;WY21W;WY21W;P21/5W/ LED;P21/5W/ LED;W5W;LED;-;
;;< 2016, Halogen;H7;H1;LED;LED;H11;WY21W;WY21W;P21/5W/ LED;P21/5W/ LED;W5W;LED;-;
KUGA III (DFK);07/19->>;Halogen;H7;H9;LED;LED;H8;**;WY21W;LED;LED;LED;**;**;
;;LED;LED;LED;LED;LED;LED;LED;WY21W;LED;LED;LED;**;**;
